Res R number,Reservoir name,Reservoir risk designation
RES/R/1128327,Glenalmond Home Loch -Buchanty,Medium
RES/R/1127951,Glenbuck Loch,High
RES/R/1128328,Glenburn,High
RES/R/1128207,Glenburn (Paisley),High
RES/R/1128024,Glencoe Lochan,High
RES/R/1128122,Glencorse Reservoir,High
RES/R/1128465,Glencorse SE,High
RES/R/1128236,Glendrissaigh,High
RES/R/1128195,Glenfarg Reservoir,High
RES/R/1128252,Glengavel,High
RES/R/1128151,Glenhove 1,High
RES/R/1128152,Glenhove 2,High
RES/R/1127930,Glenkiln,High
RES/R/1128129,Glenlatterach Reservoir,High
RES/R/1127815,Glenogil,High
RES/R/1128177,Glenquey,High
RES/R/1128178,Glensherrup Reservoir,High
RES/R/1128299,Gowanbank Reservoir,High
RES/R/1143598,Greenhill,High
RES/R/1128290,Greenside,High
RES/R/1128112,Gryffe 1,High
RES/R/1128113,Gryffe 2,High
RES/R/1128329,Guardbridge Mill,High
RES/R/1128114,Harelaw (Greenock),High
RES/R/1128462,Harelaw Dam Reservoir,High
RES/R/1127888,Harlaw,High
RES/R/1127992,Harperleas,High
RES/R/1128300,Harperrig,High
RES/R/1128220,Headshaws,Medium
RES/R/1128158,Heldale Water Reservoir,Medium
RES/R/1127836,Helensburgh No 1,High
RES/R/1127837,Helensburgh No 2,High
RES/R/1128233,Helliers Water,High
RES/R/1128415,Hen Poo,High
RES/R/1128331,High Pond,High
RES/R/1143609,Highlees South,High
RES/R/1128153,Hillend,High
RES/R/1128332,Hirsel Lake,High
RES/R/1128159,Hoglinns Water Reservoir,Medium
RES/R/1127993,Holl,High
RES/R/1127963,Hopes,High
RES/R/1128416,Horsacleit Lodge House Loch,High
RES/R/1128333,Houstonhead,High
RES/R/1127889,Inch Park,High
RES/R/1127801,Inchgarth Reservoir,High
RES/R/1127809,Invercannie Reservoir 1 (West),High
RES/R/1127810,Invercannie Reservoir 2 (East),High
RES/R/1128025,Invergarry Reservoir,High
RES/R/1128473,Inverliever Cam Loch,Low
RES/R/1128026,Inverness Reservoir,Medium
RES/R/1128253,James Hamilton Heritage Loch,High
RES/R/1128291,Jaw,High
RES/R/1128208,Kaim,High
RES/R/1128115,Kelly,High
RES/R/1127932,Kendoon,High
RES/R/1127933,Kettleton,High
RES/R/1127838,Kilduskland,High
RES/R/1128489,Kilmacolm High,High
RES/R/1128271,Kilmannan,High
RES/R/1128334,Kilmarie Reservoir,High
RES/R/1128027,Kilmorack Reservoir,High
RES/R/1127994,Kinghorn Loch,High
RES/R/1128179,Kingsmyre Loch,High
RES/R/1128335,Kinnaird Lake,High
RES/R/1128336,Kinnaird Mill Pond Reservoir,High
RES/R/1128417,Kirk Reservoir,High
RES/R/1128418,Kirkland Bridge Flood Storage,High
RES/R/1128139,Kirkleegreen,High
RES/R/1128337,Kittoch Bridge Flood Storage,High
RES/R/1128116,Knapps Loch,High
RES/R/1128140,Knockendon,High
RES/R/1128117,Knocknairshill,High
RES/R/1127934,Knockquhassen,High
RES/R/1127839,Knockruan,Low
RES/R/1128221,Knowesdean,High
RES/R/1128254,Kype,High
RES/R/1128338,Lairds Loch,High
RES/R/1128339,Lake at Stankeye (Fasque Lake),High
RES/R/1127964,Lammerloch,High
RES/R/1128255,Lanark Loch,Medium
RES/R/1128340,Ledcrieff Loch,High
RES/R/1128197,Ledlanet Reservoir,High
RES/R/1128341,Leorin Lochs,High
RES/R/1128028,Liath Reservoir,High
RES/R/1128154,Lilly Loch,High
RES/R/1128342,Lindean,High
RES/R/1127840,Lindowan,High
RES/R/1127816,Lintrathen,High
RES/R/1127817,Lintrathen S,High
RES/R/1127981,Little Denny,High
RES/R/1128029,Little Loch Shin,High
RES/R/1128470,Littleton,High
RES/R/1127841,Loch A' Bharain,High
RES/R/1127894,Loch A' Bharpa,High
RES/R/1127842,Loch A' Chaorainn,High
RES/R/1128459,Loch A' Chapuill,Low
RES/R/1128030,Loch A Choire Leith,High
RES/R/1128014,Loch A' Chrathaich Reservoir,High
RES/R/1127895,Loch A Clachain,Low
RES/R/1128031,Loch A'Bhaid Luachraich,High
RES/R/1128032,Loch Achonachie Reservoir,High
RES/R/1128033,Loch A'Chuilinn Reservoir,High
RES/R/1128034,Loch A'Ghobhair,High
RES/R/1154926,Loch Airigh A Phuill,High
RES/R/1127843,Loch Allan,Low
RES/R/1127844,Loch A'Mhuillin,High
RES/R/1127845,Loch An Add,High
RES/R/1128419,Loch an Ath Ruaidh,High
RES/R/1128180,Loch An Daimh (Giorra),High
RES/R/1127846,Loch an Droighinn,High
RES/R/1127896,Loch An Duin,High
RES/R/1128343,Loch an Easa Ghil,Medium
RES/R/1127897,Loch An Eilean Liath,High
RES/R/1128484,Loch An Leathaid Bhuain,Low
RES/R/1128035,Loch An Loinne Reservoir,Medium
RES/R/1127847,Loch an Losgainn Mor,High
RES/R/1127898,Loch An Ois,Low
RES/R/1127848,Loch An Sgoltaire,High
RES/R/1127849,Loch an Torr,Medium
RES/R/1128036,Loch An-t Sealeach Reservoir,High
RES/R/1128272,Loch Arklet,High
RES/R/1127850,Loch Ascog,High
RES/R/1128480,Loch Asgog,High
RES/R/1128038,Loch Ashie,High
RES/R/1127851,Loch Assapol,High
